"","X","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comp","significant","expression","human_gene"
"128",262,"Prdm1",4.23512198849398e-25,-1.39782353243486,0.268,0.495,6.41197469057989e-21,"Untreated","significant","negative","PRDM1"
"129",107,"Lair1",8.57661520689299e-42,-1.39325430625969,0.352,0.646,1.2984995423236e-37,"Untreated","significant","negative","LAIR2"
"130",69,"Nod1",3.90276439658312e-51,-1.39087982384558,0.346,0.689,5.90878529642685e-47,"Untreated","significant","negative","NOD1"
"131",340,"mt-Nd6",3.11860265362985e-20,1.3840263964263,0.346,0.178,4.72156441759559e-16,"Untreated","significant","positive","ND6"
"132",129,"Batf3",5.77424207624947e-38,1.38336282911826,0.493,0.235,8.7422025034417e-34,"Untreated","significant","positive","BATF3"
"133",178,"Tnfaip3",7.51735330333232e-32,-1.38026628557172,0.306,0.574,1.13812729012451e-27,"Untreated","significant","negative","TNFAIP3"
"134",398,"Ckb",5.57376153593705e-18,1.37696156550439,0.289,0.143,8.4386749654087e-14,"Untreated","significant","positive","CKB"
"135",29,"Yy1",1.29389012784345e-77,1.36784806604745,0.82,0.539,1.95894965355498e-73,"Untreated","significant","positive","YY1"
"136",240,"Cdkn2d",1.80397881176053e-26,1.36579225778628,0.35,0.16,2.73122392100544e-22,"Untreated","significant","positive","CDKN2D"
"137",3,"Ly6e",4.2980795579234e-149,-1.36564041541917,0.803,0.973,6.50729245069603e-145,"Untreated","significant","negative","LY6E"
"138",1431,"Frmd4a",2.03145902523814e-40,-1.36107667639531,0.156,0.31,3.07562896421054e-36,"NP+","significant","negative","FRMD4A"
"139",309,"Sp140",4.48142367626761e-22,-1.35978252710058,0.159,0.383,6.78487544586917e-18,"Untreated","significant","negative","SP140L"
"140",237,"Sod2",7.7679182827798e-27,-1.3581642487022,0.34,0.572,1.17606282801286e-22,"Untreated","significant","negative","SOD2"
"141",1444,"Oasl2",9.63768494677191e-38,-1.35782369860022,0.115,0.256,1.45914550094127e-33,"NP+","significant","negative","OASL2P"
"142",284,"Pde2a",3.39219991307582e-23,1.35374796958462,0.272,0.112,5.1357906683968e-19,"Untreated","significant","positive","PDE2A"
"143",59,"Rnf19b",8.82147686178869e-56,-1.35121595116935,0.456,0.761,1.33557159687481e-51,"Untreated","significant","negative","RNF19B"
"144",40,"Marcks",1.06306085110681e-68,1.34847539288035,0.875,0.659,1.60947412857571e-64,"Untreated","significant","positive","MARCKS"
"145",23,"Plbd1",5.25587375190949e-83,1.34101635324969,0.894,0.565,7.95739286039096e-79,"Untreated","significant","positive","PLBD1"
"146",329,"Smad3",1.05110142916782e-20,1.34039702566717,0.297,0.139,1.59136756376008e-16,"Untreated","significant","positive","SMAD3"
"147",6,"Ier5",6.89429646035006e-131,1.33740067244159,0.987,0.863,1.043796484097e-126,"Untreated","significant","positive","IER5"
"148",260,"Bmyc",4.00768838094973e-25,1.33676077771485,0.361,0.173,6.06764020875789e-21,"Untreated","significant","positive","MYC"
"149",207,"Psma7",7.0668891013982e-29,-1.33663121609097,0.191,0.458,1.06992700995169e-24,"Untreated","significant","negative","PSMA7"
"150",192,"Lrrc8c",1.68883456389198e-30,-1.33165950258277,0.253,0.521,2.55689552973245e-26,"Untreated","significant","negative","LRRC8C"
"151",105,"Ifi204",3.38000614957917e-42,-1.32620007569627,0.397,0.68,5.11732931046287e-38,"Untreated","significant","negative","PYHIN1"
"152",466,"Tnfrsf14",1.98424398876376e-15,-1.3234087534518,0.113,0.283,3.00414539898833e-11,"Untreated","significant","negative","TNFRSF14"
"153",168,"mt-Nd1",7.79202188799991e-33,-1.32232767806147,0.314,0.589,1.17971211384319e-28,"Untreated","significant","negative","ND1"
"154",1492,"Hmox1",2.4968767871313e-27,1.32036564678607,0.448,0.312,3.78027145571679e-23,"NP+","significant","positive","HMOX1"
"155",372,"Dpep2",9.7856138850095e-19,1.32013968326436,0.257,0.115,1.48154194219044e-14,"Untreated","significant","positive","DPEP2"
"156",183,"Ifi44",2.3539012117838e-31,-1.31995872015498,0.331,0.59,3.56380643464067e-27,"Untreated","significant","negative","IFI44"
"157",132,"Tsc22d4",1.32451031435061e-37,1.31320270963834,0.554,0.296,2.00530861592682e-33,"Untreated","significant","positive","TSC22D4"
"158",1180,"Pltp",1.70259494722858e-28,-1.31171001001412,0.517,0.626,2.57772875010408e-24,"NP-","significant","negative","PLTP"
"159",68,"Smpdl3a",3.7747342058553e-53,-1.31120332860071,0.429,0.736,5.71494758766492e-49,"Untreated","significant","negative","SMPDL3A"
"160",1514,"Prdx1",3.10039953031415e-24,1.310026735391,0.48,0.364,4.69400488889562e-20,"NP+","significant","positive","PRDX1"
"161",193,"Gsn",1.96552745379493e-30,1.2827257760767,0.533,0.307,2.97580856504553e-26,"Untreated","significant","positive","GSN"
"162",160,"Eif3b",7.26453886356233e-34,1.28096147046628,0.476,0.237,1.09985118394334e-29,"Untreated","significant","positive","EIF3B"
"163",1460,"Gpr146",7.62414564742999e-34,-1.27775446207806,0.203,0.343,1.1542956510209e-29,"NP+","significant","negative","GPR146"
"164",1571,"Clec2d",5.24531247413796e-18,-1.27637829168497,0.395,0.468,7.94140308584488e-14,"NP+","significant","negative","CLEC2D"
"165",56,"Amz1",7.45289909179172e-58,1.27513027463802,0.737,0.422,1.12836892249727e-53,"Untreated","significant","positive","AMZ1"
"166",1390,"Blvrb",1.38814253701482e-57,1.27469709258982,0.458,0.253,2.10164780104044e-53,"NP+","significant","positive","BLVRB"
"167",495,"Cyp4v3",1.20781331048861e-14,-1.27163571496656,0.138,0.305,1.82862935207975e-10,"Untreated","significant","negative","CYP4V2"
"168",131,"Sphk2",7.92175882606036e-38,1.26888810170436,0.552,0.294,1.19935428626554e-33,"Untreated","significant","positive","SPHK2"
"169",124,"Zfp516",1.68712398951263e-38,1.26716107046122,0.527,0.263,2.55430572012212e-34,"Untreated","significant","positive","ZNF516"
"170",1330,"Cyfip2",1.52627610158614e-101,1.26456572273126,0.616,0.327,2.31078201780142e-97,"NP+","significant","positive","CYFIP2"
"171",266,"Ppm1m",7.80255059293396e-25,1.26445940244113,0.456,0.26,1.1813061597702e-20,"Untreated","significant","positive","PPM1M"
"172",1201,"Thbd",6.68007024778461e-21,-1.26136525933033,0.512,0.617,1.01136263551459e-16,"NP-","significant","negative","THBD"
"173",396,"H2-T24",5.16009512716272e-18,-1.26028427148576,0.268,0.461,7.81238402252435e-14,"Untreated","significant","negative",NA
"174",1425,"Cebpd",1.53474690285631e-41,-1.25919089449544,0.227,0.39,2.32360681092445e-37,"NP+","significant","negative","CEBPD"
"175",115,"Laptm4a",2.43469515046679e-40,-1.25691094283839,0.282,0.603,3.68612845780672e-36,"Untreated","significant","negative","LAPTM4A"
"176",52,"Ctsb",5.98746840541891e-60,-1.25528794708527,0.896,0.94,9.06502716580424e-56,"Untreated","significant","negative","CTSB"
"177",76,"S100a6",8.79437337545609e-50,1.25281483012176,0.705,0.392,1.33146812904405e-45,"Untreated","significant","positive","S100A6"
"178",390,"Adgre1",2.8865014677213e-18,-1.24872720617885,0.227,0.423,4.37016322213004e-14,"Untreated","significant","negative","ADGRE1"
"179",11,"Samhd1",1.4264791782849e-112,-1.24710995870073,0.926,0.968,2.15968947592333e-108,"Untreated","significant","negative","SAMHD1"
"180",338,"Kdm2b",2.16248817365336e-20,1.24703796760867,0.306,0.146,3.27400709491119e-16,"Untreated","significant","positive","KDM2B"
"181",104,"Ace",2.76147734182123e-42,-1.24476528047511,0.586,0.769,4.18087669551733e-38,"Untreated","significant","negative","ACE"
"182",41,"Ms4a6d",1.13197107644948e-64,-1.24339887222261,0.732,0.861,1.71380420974451e-60,"Untreated","significant","negative","MS4A6E"
"183",1354,"F10",1.03980922193977e-78,1.24120251574899,0.67,0.426,1.57427116201681e-74,"NP+","significant","positive","F10"
"184",349,"Pbx1",1.30403272348957e-19,1.24020332994899,0.312,0.152,1.97430554336321e-15,"Untreated","significant","positive","PBX1"
"185",472,"Lilra5",3.4648670757836e-15,-1.23947996934233,0.193,0.369,5.24580875273636e-11,"Untreated","significant","negative","LILRA5"
"186",347,"Kctd20",1.23913686899305e-19,1.23911416166663,0.299,0.144,1.87605321965548e-15,"Untreated","significant","positive","KCTD20"
