"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comp"
"1609","Uap1l1",1.25412055088854e-14,0.783131285827572,0.292,0.205,1.89873851404525e-10,"NP+"
"1610","Lpcat2",1.3369300102862e-14,0.527894629623981,0.319,0.219,2.0241120355733e-10,"NP+"
"1611","Klhl6",1.39383933238358e-14,0.521712263003279,0.317,0.217,2.11027274922874e-10,"NP+"
"1612","Ripk2",1.87462413802039e-14,0.628459725106224,0.389,0.298,2.83818094496287e-10,"NP+"
"1613","Ctnna1",2.58461293558369e-14,-0.538189451467458,0.61,0.655,3.91310398447371e-10,"NP+"
"1614","H2-T24",2.61301389386617e-14,-0.804965799638388,0.407,0.477,3.95610303531338e-10,"NP+"
"1615","Tnfrsf14",9.31199837634573e-14,0.534980048431408,0.313,0.219,1.40983655417874e-09,"NP+"
"1616","Gbp9",1.30721531227792e-13,-0.968542774167946,0.264,0.34,1.97912398278877e-09,"NP+"
"1617","Gfpt1",2.02629435628231e-13,0.555822562985316,0.326,0.234,3.06780965541141e-09,"NP+"
"1618","Smarca2",2.37581211764401e-13,-1.16176347432021,0.189,0.263,3.59697954611304e-09,"NP+"
"1619","Dusp7",2.51959574597964e-13,-0.736044444085475,0.174,0.258,3.81466795941317e-09,"NP+"
"1620","Qsox1",2.54562464633425e-13,-0.560108988364508,0.36,0.445,3.85407571455005e-09,"NP+"
"1621","Pltp",2.91286725093794e-13,-1.1351118156866,0.575,0.611,4.41008101792003e-09,"NP+"
"1622","Kifc3",4.17079805679882e-13,-0.567343956314075,0.257,0.347,6.31458825799341e-09,"NP+"
"1623","Mboat7",8.11777110983112e-13,-0.554714764095619,0.275,0.364,1.22903054602843e-08,"NP+"
"1624","Sptan1",1.00186962454576e-12,-0.625434366318814,0.609,0.642,1.51683061156229e-08,"NP+"
"1625","Arglu1",1.06858480463921e-12,-0.573944616050079,0.461,0.522,1.61783739422376e-08,"NP+"
"1626","Nfatc3",1.64814720955556e-12,0.557045391814061,0.256,0.172,2.49529487526711e-08,"NP+"
"1627","Gba",1.93436958914048e-12,0.534260962232891,0.309,0.221,2.92863555795869e-08,"NP+"
"1628","Ccpg1",1.9412005946183e-12,-0.681507018973176,0.185,0.267,2.93897770025211e-08,"NP+"
"1629","Actn4",2.25747213066846e-12,-0.523212471830945,0.586,0.633,3.41781280583205e-08,"NP+"
"1630","Amdhd2",3.53132114547927e-12,0.570253104794816,0.382,0.3,5.34642021425562e-08,"NP+"
"1631","Ext2",4.47791308412768e-12,-0.70087837561439,0.193,0.271,6.7795604093693e-08,"NP+"
"1632","Nab2",5.7500393166063e-12,0.524512149756762,0.25,0.168,8.70555952534193e-08,"NP+"
"1633","Znrf1",7.85129397489128e-12,-0.763473508320245,0.215,0.291,1.18868590779854e-07,"NP+"
"1634","March6",8.22201489684293e-12,-0.521386528347293,0.315,0.398,1.24481305538202e-07,"NP+"
"1635","Mxd4",1.35112370341998e-11,-0.744030769401676,0.235,0.31,2.04560128697785e-07,"NP+"
"1636","S100a10",1.45962669723561e-11,-0.521325904540545,0.357,0.438,2.20987481961472e-07,"NP+"
"1637","Nrip1",1.84148149602959e-11,0.630507553755082,0.251,0.174,2.7880029849888e-07,"NP+"
"1638","Arrdc3",2.28290863901109e-11,0.50635974206696,0.391,0.307,3.45632367946279e-07,"NP+"
"1639","Gpd2",2.55945361334159e-11,0.541836247675903,0.273,0.193,3.87501277059917e-07,"NP+"
"1640","Gdi1",2.68460439177496e-11,-0.53427073075437,0.319,0.395,4.06449104914729e-07,"NP+"
